"TICKER","EMPRESA","SECTOR","INTANGIBLES","SWITCHING_COSTS","NETWORK_EFFECT","COST_ADVANTAGE","SUBTIPO_MOAT","MOAT_RATING","DURABILIDAD_ANOS","MOAT_TREND","RIESGO_EROSION","EVIDENCIA_1","EVIDENCIA_2","ROCE_MEDIANA","TEST_CUANTITATIVO","JUSTIFICACION_FINANCIERA","CONFIANZA"
"SAP","SAP","Software","0","3","1","1","B1 Integracion empresarial (ERP)","Wide",">20 años","Stable","Riesgos a vigilar (no activos): desaceleracion del backlog (Q4 +25% cc vs +26% señalado) y guia 2026 blanda - es moderacion de crecimiento, NO erosion del switching","Coste de cambio de ERP - migracion cuesta 1,5-3x licencia anual + 12-24 meses de dual-run + remediacion de codigo ABAP - deadline de mantenimiento 2027 hace cautiva la base","Lock-in creciente por suite integrada - 2/3 de grandes deals con 4+ lineas de negocio (+25pp), escalado de renovacion RISE 5-7%/año","28,5%","Aprobado","Mediana ROCE 28,5% (2024-28). Foso B1 canonico (ERP). Lock-in multi-LOB deepening y ROCE al alza (0,18→0,29) pero backlog decelerando y guia 2026 blanda → Stable. Sin señal §2.7 activa","Alta"
"RMS","Hermès","Bienes de consumo","3","0","0","0","A1 Marca (lujo, escasez controlada)","Wide",">20 años","Widening","Riesgo a vigilar (no activo): ciclicidad del lujo y debilidad China - Hermès OUTPERFORMA el sector (Kering -14,6%), pricing power intacto","Escasez controlada - Birkin/Kelly con listas de espera de años, ~1 taller de cuero nuevo/año, 60%+ fabricacion in-house para proteger rareza y margen","Resiliencia diferencial - organico +15,6% cc mientras el sector cae, margen operativo ~41% (el mas alto del lujo), subidas de precio absorbidas","72,4%","Aprobado","Mediana ROCE 72,4% (2023-27). Foso de marca A1 mas ancho del lujo. Margen subiendo 28→41% en 5 años y outperformance en ciclo bajo = Widening. La ligera caida de ROCE es capex en capacidad artesanal (dentro del foso)","Alta"
"PLX","Pluxee","Servicios a empresas","2","1","2","0","C Efecto red (B2B2C) + A3 marco regulatorio (voucher fiscal)","Wide","10-20 años","Widening","Riesgos a vigilar (no activos): reforma del meal-benefit en Francia 2025 (Pluxee la welcomed como modernizacion) y tipos a la baja (headwind al float, guia FY26 asume float estable) - take rate y organico suben","Red B2B2C de dos lados - 500.000+ clientes, 37M+ consumidores, 1,7M+ comercios en 31 paises, nº1 en la mitad de sus mercados (efecto red + duopolio con Edenred)","Marco fiscal del voucher (barrera que crea el mercado) + float sobre ~7 semanas + triple ingreso (comision comercio 3-5% + fee empleador ~1%), comision subida a ~5%","n/c","Aprobado (ROE ~50%, ROCE anomalo por escision 2024)","ROCE no interpretable (escision de Sodexo 2024, capital empleado anomalo). ROE mediana ~50%. Foso de red B2B2C + marco regulatorio (duopolio con Edenred). Take rate y organico al alza → Widening. Dependencia regulatoria limita durabilidad a 10-20 (Rama B)","Media"
"AMZN","Amazon","Servicios al consumidor","1","2","2","3","D4a Escala (logistica/AWS) + C Marketplace + B Switching (AWS/Prime)","Wide",">20 años","Stable","Riesgos a vigilar (no activos): juicio antitrust FTC (Oct 2026), capex de IA comprime FCF - moat estructural intacto (Prime 200M+, retencion AWS >90%)","AWS - migracion de workloads empresariales compleja: retencion >90% y contratos Fortune 500 plurianuales + economias de escala","Marketplace 3P (62% de unidades, GMV $305B+) con take rate efectivo 40-50% para pequeños + red de fulfillment FBA (efecto red + D4a)","22,0%","Aprobado","Mediana ROCE 22,0% (2024-28). Foso multiple (AWS switching + marketplace network + escala logistica). Take rate 3P y retencion AWS mejoran pero el ROCE se comprime por capex IA ($125-200B) → divergencia → Stable. FTC = Rama B","Alta"
"MCD","McDonald's","Servicios al consumidor","3","0","0","3","A1 Marca (QSR global) + D2 Localizacion/D4a Escala (franquicia)","Wide",">20 años","Stable","Riesgos a vigilar (no activos): entorno QSR desafiante, debilidad China, enfasis en valor presiona margenes de franquiciados - comps y trafico positivos","Poder de precio de marca CON trafico - comps +5,7% por check Y guest counts positivos, recupera cuota en trafico de rentas bajas (A1)","Escala + modelo franquicia/real estate - systemwide $139B (+7%), royalty asset-light, escala de marketing/compras que las cadenas pequeñas no igualan, loyalty $37B (+20%)","33,8%","Aprobado (ROE n/c por recompras, se usa ROCE)","Mediana ROCE 33,8% (2023-27, ROE negativo por patrimonio contable negativo). Foso A1 marca + escala/localizacion. Comps y loyalty mejoran pero el ROCE es plano y la recuperacion es value-promo-driven → Stable. China/franquiciados = Rama B","Alta"
"TJX","TJX Companies","Servicios al consumidor","1","0","0","3","D4a Escala (buying/procurement off-price)","Wide",">20 años","Widening","Riesgos a vigilar (no activos): aranceles (TJX es tariff-neutral via escala = ventaja), e-commerce (preserva el treasure-hunt) - gana cuota","Escala de compra insuperable - Marmaxx ~mitad del off-price US, 45.000 vendors, 40+ paises, precios 20-60% bajo el retail full-price (D4a)","Red de vendors como barrera durable - canal de liquidacion discreto que preserva la imagen de las marcas, treasure-hunt genera trafico sin publicidad","~106% (ROE 55%)","Aprobado (ROCE >100% por leases/recompras → ROE 55% valido)","Mediana ROCE ~106% (2024-28, distorsionada por leases/recompras). Foso D4a de escala de compra (Morningstar wide-moat). Comps traffic-driven (+4-9% por transacciones) y escala de compra en aumento (45.000 vendors) → Widening - la cuota sola no es evidencia (§2.2), el mecanismo es el procurement. Switching=0 (retail, aviso Dorsey). Aranceles/e-comm = Rama B","Alta"
"AZO","AutoZone","Servicios al consumidor","1","0","0","3","D2/D4a Densidad de distribucion (aftermarket) + A1 marca propia (Duralast)","Wide",">20 años","Stable","Riesgos a vigilar (no activos): Amazon en auto parts (Morningstar overblown, DIFM insulado por entrega 30-60min), O'Reilly gana en comercial, transicion EV (largo plazo)","Densidad de distribucion - 7.700 tiendas + Mega-Hubs con entrega <4h - DIFM insulado del online (repair shops necesitan piezas en 30-60min, solo el inventario fisico local lo logra)","Marca propia Duralast (reconocimiento, margen, loyalty) + ROIC 41-55% en mercado fragmentado donde los rivales carecen de escala","64,6% (ROIC 41-55%)","Aprobado (ROE n/c por recompras → se usa ROCE/ROIC)","Mediana ROCE 64,6% (2024-28, ROE negativo por recompras). Foso de densidad + marca propia. Comps y DIFM mejoran pero el ROIC se comprime por startup de DCs y ORLY compite fuerte → Stable. Amazon/EV = Rama B","Alta"
"DPZ","Domino's Pizza","Servicios al consumidor","2","1","0","3","D4a Escala + D2 densidad (fortressing) + cadena integrada (franquicia)","Wide",">20 años","Stable","Riesgos a vigilar (no activos): agregadores de delivery (DPZ pivoto a asociarse = canal), competencia QSR, SSS US modesto - gano cuota, order counts positivos","Loop auto-reforzante - escala, eficiencia de compra, menor coste franquiciado, mas inversion, red mas densa (fortressing <10min), frecuencia, royalty - ROIC 71% vs 15-20% del sector","85%+ ventas digitales + 35M miembros loyalty (lock-in) + 32 años consecutivos de SSS internacional + ganancia de cuota US","~121% (ROIC 71%)","Aprobado (ROCE >100% por franquicia asset-light/recompras - ROE negativo → ROCE/ROIC)","Mediana ROCE ~121% (franquicia asset-light + patrimonio negativo por recompras). Foso D4a escala + densidad + cadena integrada. Ganancia de cuota solida pero SSS US modesto y pivote a agregadores defensivo → Stable. Agregadores = Rama B","Alta"
"CSU","Constellation Software","Software","0","3","0","1","B1 Integracion (VMS mission-critical) - roll-up de alta calidad","Wide",">20 años","Stable","Riesgos a vigilar (no activos): narrativa de disrupcion AI del software (error de categoria para VMS mission-critical, retencion 90%+ intacta), competencia PE sube multiplos, salida de Mark Leonard (transicion fluida)","VMS mission-critical integrado en el workflow del cliente → retencion 90%+, muy dificil de cambiar - posiciones cuasi-monopolicas en nichos (transit, utility billing, library)","Roll-up de ALTA calidad - ROIC ~25%, recurrente 74-75%, organico +3% positivo, M&A disciplinado IRR-driven - ROCE-goodwill 27,2% (vs TEQ 9,7%)","27,2% (ROIC ~25%)","Aprobado","Mediana ROCE 27,2% (2024-28, ROIC ~25%). Foso B1 switching VMS validado a nivel filial (§3.3): retencion 90%+, organico POSITIVO - contraste nitido con TEQ (None: -5%, ROCE 9,7%). Estable. AI/PE = Rama B","Alta"
"UBER","Uber","Servicios al consumidor","1","2","3","2","C Efecto red (liquidez marketplace) + B Uber One + D4 escala","Wide","10-20 años","Widening","Riesgos a vigilar (no activos): disrupcion AV/robotaxi (largo plazo, mitigada por 18 partners AV), competidores locales low-commission (Bolt, DoorDash, DiDi), reclasificacion regulatoria EU/UK - margen/take rate suben","Red de liquidez de dos lados - mas drivers, menor espera, mas riders - cuota 70-76% US - cross-platform 3x gross bookings y +35% retencion","Uber One (50M, 50-60% de GB) reduce multihoming + margen EBITDA/GB en maximo historico + ads $1,5B (+60%) - monetizacion por nodo al alza","24,0%","Aprobado","Mediana ROCE 24,0% (2024-28). Foso de red de liquidez + membership + escala. Margen/GB en maximo, Uber One escalando, ROCE al alza (13→18%) → Widening. AV limita durabilidad a 10-20 (Rama B)","Alta"
"MA","Mastercard","Servicios financieros","1","2","3","3","C Efecto red de dos lados (emisores/comercios) + D4b Escala de procesamiento + B switching via VAS creciente","Wide",">20 años","Widening","Riesgos a vigilar (no activos, Rama B): rails A2A (Pix/UPI/FedNow) como §2.7-2 estructural prospectivo, acuerdo interchange 2025, y sobre todo rebates & incentives +22% creciendo por encima del revenue +14% (presion en take rate BRUTO por renovacion de deals) - ninguno materializado: switched transactions +9% sin fuga visible y take rate NETO subiendo","Efecto red de dos lados - 3,7B tarjetas Mastercard/Maestro y aceptacion global, switched transactions +9% y cross-border +12% (el volumen de mayor yield) con revenue +14% > transacciones = monetizacion por transaccion creciente","Escala de procesamiento (margen operativo 60,2%, coste incremental por transaccion casi nulo) + duopolio con Visa + VAS +20% (~37% del revenue) que profundiza switching costs (tokenizacion, seguridad, analitica embebidas en el emisor)","~29%","Aprobado","ROA ~29% neto / ~36% operativo pretax (fallback §2.4, supera el umbral del 7% ~4x). ROCE/ROE nominales >100% por treasury stock de -92.226M sobre equity de 5.606M: la distorsion CONFIRMA retornos elite, no los oscurece - no es 'no interpretable'. Wide: red canonica de Dorsey/Morningstar, mecanismo identico a Visa (V=Wide en este mismo fichero) - se corrige el techo Narrow que venia de un artefacto de estructura de capital, no del foso. KPI de red (yield por transaccion, cross-border mix, VAS) subiendo sin señal §2.7 activa = Widening (Rama B)","Media-Alta"
"MLUAV","Embention","Materiales industriales","3","1","0","0","A3 Licencia/certificacion (EASA ETSO-C198)","Narrow","10-20 años","Stable","Riesgo a vigilar (no activo): sector joven y competitivo de autopilotos/UAV - la certificacion protege pero el mercado esta en formacion","Certificacion EASA ETSO-C198 para autopilotos de UAV - habilitacion tecnica de obtencion lenta y costosa (equivalente funcional de licencia A3)","Integracion del autopiloto en el diseño del dron (coste de recertificar si se cambia de proveedor)","~75%","Aprobado (margen EBITDA 49%)","Mediana ROCE ~75% (base de capital baja, small cap). Foso A3 de certificacion aeronautica. Narrow por tamaño de mercado y juventud del sector. Sin penalizacion por capitalizacion (§2.9)","Media"
"JEN","Jensen-Group","Materiales industriales","0","2","0","1","B1 Base instalada/aftermarket + D4c Dominio de nicho","Narrow","10-20 años","Widening","Riesgo a vigilar (no activo): demanda de bienes de equipo ciclica (§2.5)","Base instalada de sistemas de lavanderia industrial pesada con aftermarket recurrente (repuestos/servicio) - coste de cambio por integracion operativa","Dominio de nicho global en lavanderia industrial de gran escala (mercado pequeño que no atrae a grandes rivales, D4c)","30,9%","Aprobado","Mediana ROCE 30,9%. Foso B1 aftermarket + D4c nicho. Aftermarket recurrente en record y order book creciente (KPI familia B1) → Widening - margen EBIT 11,9→14% queda como corroboracion, no como KPI (§2.2 falso foso nº3). Small cap sin penalizacion (§2.9)","Media"
"UD","Unidata","Telecom","0","1","0","2","D2 Localizacion (red FTTH propietaria en Lacio)","Narrow","10-20 años","Stable","Riesgos a vigilar (no activos): guidance 2026-27 recortada y reventa wholesale sobre Open Fiber fuera de Lacio - el foso nuclear (ultima milla propia en Lacio) no se erosiona, margen EBIT plano - Rama B","Red FTTH propietaria (ultima milla) en Lacio - activo de localizacion dificil de replicar (D2)","Base de clientes B2B/wholesale sobre infraestructura propia","14,4%","Aprobado","Mediana ROCE 14,4% (Narrow, 10-15%). Foso D2 de red propietaria en Lacio. El recorte de guidance y el wholesale afectan a la CALIDAD del crecimiento fuera de huella, no al mecanismo D2 → Stable (Rama B). Confianza KPI baja","Media"
"JNEO","Journeo","Materiales industriales","1","2","0","1","B1 Integracion (base instalada + SaaS) + D4c Nicho","Narrow","10-20 años","Stable","Riesgo a vigilar (no activo): mayoria de ingresos por licitacion competitiva (re-ganar contratos, no lock-in pleno), EPS diluido a la baja","Base instalada de sistemas embarcados (CCTV/APC/displays) conectada al portal cloud con SaaS recurrente plurianual - coste de re-fit y migracion de flota","Proveedor preferente en nicho de sistemas de transporte con certificacion ferroviaria - framework First Bus £10m + Alstom £4,2m (adjudicaciones recurrentes)","37,3%","Aprobado","Mediana ROCE 37,3% (2024-28 - el 116% de 2024 es atipico por base de capital baja pre-adquisiciones). Foso emergente por base instalada + SaaS (16% recurrente) y nicho certificado → Narrow. Sin penalizacion por tamaño (§2.9)","Media"
"NFLX","Netflix","Medios","1","1","0","2","D4b Escala (apalancamiento de contenido) + A1 parcial (pricing power)","Narrow","10-20 años","Widening","Riesgos a vigilar (no activos, Rama B): §2.7-2 short-form/IA compite por atencion (horas/suscriptor cayendo a/a, visionado diario -7% segun Digital i, cuota de visionado TV global ~5%), §2.7-5 postura M&A activa (puja WBD fallida, fee 2.800M cobrado en Q1'26), disclosure de engagement pasa a anual desde 2027","Apalancamiento de escala en contenido - gasto ~19.500M LTM repartido sobre 325M+ subs, ratio coste-contenido/ingresos ~39% plano en 5 años con ingresos +13-16%, monetizacion por hora de atencion 0,256 USD H1'26 (+12,5% a/a)","Poder de precio - subidas 2026 absorbidas con churn consistente con expectativas, ARM al alza en las 4 regiones, ads ~3.000M en 2026 (2x a/a) con 4.000+ anunciantes (+70% a/a), margen operativo 33,4% Q2'26","46,4%","Aprobado","Mediana ROCE 46,4% (2024-28e, modelo corregido ex-fee WBD). KPI pilar D (leverage de coste) y KPI pilar A1 (precio/mix) positivos + ROCE ascendente = Widening algoritmico PASO 9. Señal engagement per capita no materializada en churn ni pricing = Rama B. Rating Narrow por calibracion §2.8: prior Medios 14% Wide, switching costs ~0 en consumo, base de un solo pilar estructural - ROCE alto mide altura del retorno, no duracion","Alta"
"VHI","Vitalhub","Servicios sanitarios","0","2","0","0","B1 Integracion (software clinico) - roll-up","Narrow","10-20 años","Stable","Riesgo a vigilar (no activo): reestructuracion del NHS (fusiones de ICB, recortes) ralentiza compras UK (linea SHREWD) - afecta al ritmo de VENTAS, NO a la retencion (churn bajo, NRR>100%)","Software clinico embebido en el flujo hospitalario (EHR, patient flow) para 1000+ proveedores (NHS, Canada) - churn 3-6%, NRR >100%, recurrente 75-83%","Crecimiento organico positivo dentro del roll-up (+10-15% ARR organico) con cross-sell - valida el foso a nivel filial (contraste con TEQ)","18,0%","Aprobado","Mediana ROCE 18,0% (2024-28). Foso B1 en software clinico validado por retencion (churn 3-6%, NRR>100%) y crecimiento ORGANICO sano (§3.3 roll-up). NHS = Rama B. Narrow, no penalizado por tamaño (§2.9)","Media"
"QLYS","Qualys","Software","0","2","0","1","B1 Integracion (plataforma de agente unico)","Narrow","10-20 años","Stable","Riesgos a vigilar (no activos en retencion bruta): competencia de CrowdStrike/Palo Alto via bundling, NDER estancado (upsell dificil), caida de clientes >$500K - el nucleo sigue pegajoso (retencion bruta al alza, ingresos +10%)","Plataforma de agente unico embebida en la operacion IT/seguridad (on-prem/cloud/endpoints) para 10.000+ clientes - re-agentar todo el entorno es el coste de cambio","Consolidacion en plataforma - apps comparten agente/datos/UI, margen EBITDA ajustado 47% (economia del foso)","~104%","Aprobado","Mediana ROCE ~104% (2025-29, asset-light, no >3x → interpretable). Foso B1 de plataforma unificada, retencion bruta alta pero NDER flojo (103%) por competencia de plataforma → Stable. Competencia = Rama B. Narrow","Media"
"BKNG","Booking Holdings","Servicios al consumidor","1","2","3","1","C Efecto red (marketplace de viajes) + D4a escala","Narrow",">20 años","Widening","Riesgos a vigilar (no activos): disrupcion por AI agentico (OpenAI/Google desintermediando OTAs), dependencia de Google performance marketing - el KPI mejora, BKNG parte con OpenAI/Microsoft","Marketplace de dos lados - 4,4M propiedades + viajeros, 1,2B room nights, flywheel de datos (efecto red)","Genius loyalty (58% de room nights) + Connected Trip multi-vertical (+high-20%) + modelo merchant (float de pagos, margen fintech)","n/c","No interpretable","ROCE y ROE ambos n/c (recompras → patrimonio negativo). PASO 1 impone techo Narrow y confianza baja. AVISO: el cap es artefacto de estructura de capital, NO de calidad - el mecanismo de red OTA es estructuralmente Wide. Connected Trip +high-20% y Genius 58% de room nights (monetizacion por nodo, familia C) → Widening - el margen EBITDA no se usa como KPI (§2.10). AI = Rama B","Baja"
"JET2","Jet2 plc","Servicios al consumidor","2","1","0","1","A3 Escala ATOL en packages + integracion vertical (nicho UK)","Narrow","10-20 años","Stable","Riesgos a vigilar (no activos): mercado cada vez mas competitivo (reinversion de marketing en pricing), costes start-up de Gatwick, fuel/geopolitica - load factor y PBT estables","Escala ATOL - mayor ATOL holder UK (~21% del mercado de package holidays), escala en contratacion de bloques hoteleros que operadores pequeños/OTAs no replican","Integracion vertical - controla su oferta de asientos (vs OTAs asset-light) balanceando load factor/pricing/mix para maximizar profit per passenger","n/c (ROE ~21%)","Aprobado (ROCE anomalo por leasing de flota - ROE ~21%)","ROCE anomalo (leasing flota). ROE ~21%. AVISO prior §2.8 (aerolineas casi sin foso) - pero Jet2 es integrador de packages: escala ATOL + integracion vertical dan Narrow (mejor que TUI, no iguala coste de Ryanair). Margen fino 6-7%. Competencia = Rama B","Media"
"SAVE","Savencia","Bienes de consumo","2","0","0","0","A1 Marca (quesos de especialidad) - debil","Narrow","10-20 años","Narrowing","ACTIVA §2.7 nº1 (perdida de poder de precio) + nº3 (concentracion retail): private label 30-38% de cuota creciendo mas rapido, displacement de shelf cuando el gap de precio >20%, Savencia responde con +8% promo comprimiendo margen - erosion MATERIALIZADA","Marca de especialidad con price/mix favorable - Saint Agur/Caprice des Dieux, premium ~20-40% sobre commodity en el segmento affineur","Portfolio diversificado 120+ paises con escala en compras (pero margen operativo solo 3%)","11,3%","Aprobado (Narrow, 10-15%)","Mediana ROCE 11,3% (2023-27), ROE 8,7%. Foso A1 de especialidad DEBIL (margen 3%). Narrowing (Rama A): la perdida de poder de precio se MATERIALIZA - private label desplaza, margen comprime. Roza None (cf. aviso Dorsey Krispy Kreme/Tommy Hilfiger)","Baja"
"TEQ","Teqnion","Materiales industriales","0","0","0","0","Sin foso (roll-up de compounder industrial)","None","n/a","n/a","n/a (None)","Crecimiento organico -5% (FY25): el crecimiento vino solo de adquisiciones - las filiales en agregado no muestran pricing power ni retencion - segunda crisis plurianual reconocida","La cadencia de M&A y la compra barata es asignacion de capital = falso foso nº4, no un foso - calidad de targets recientes cuestionada","9,7%","Fallido","Mediana ROCE 9,7% (<10%). Roll-up cuya ventaja es M&A/asignacion de capital (falso foso nº4). Organico -5% → filiales sin pricing power ni retencion. None. Investigacion completa (no penalizacion por tamaño §2.9)","Media"
